ID,Lon,Lat,nrSeryjny
4509130,20.403,51.053,340
337830,16.175,54.187,237
1255337,18.436,53.937,593-072/71786
4632178,19.578,52.208,593-072/72003
312690,21.456,50.656,313
357760,20.874,52.81,593-072/71517
27593680,23.143,51.173,387
311190,19.479,50.306,310
313380,21.398,50.034,593-072/71512
349830,17.581,51.942,230
71087603,18.127,54.219,593-072-73184
570292,20.006,50.656,593-072/71668
315110,22.154,50.448,142
321300,18.633,53.016,212
28797063,21.047,52.191,593-071/71071
342380,19.153,50.75,593-072/71538
300110,21.898,51.652,152
335680,15.674,52.577,593-072/71544
345610,19.873,50.633,171
321990,19.363,52.875,244
72653866,16.9,52.388,593-072-73217
570277,21.731,50.064,593-072/71663
13226489,19.316,51.956,593-072/72060
28796205,21.098,52.235,593-071/71381
53752292,18.539,50.281,593-072/73126
4169385,21.252,51.311,593-072/71994
322220,18.469,53.336,215
28796185,21.097,52.235,593-071/71378
570301,18.377,54.417,593-072/71674
3713317,16.565,51.921,593-072/71991
1504847,21.699,50.869,593-072/71721
323020,17.428,53.685,138
310960,21.154,50.012,133
352650,16.521,52.224,191
352190,16.545,51.955,178
346990,18.716,50.53,309
5867998,21.533,51.595,355
299180,19.353,51.929,137
330150,23.195,52.809,109
8023494,18.361,54.387,365
1203349,18.766,54.003,593-072/71704
345030,19.229,50.471,169
343880,20.17,51.252,261
28796107,21.098,52.235,593-071/71376
333950,20.982,52.962,290
4407617,14.856,52.912,593-072/72001
324170,18.758,53.932,126
